region_administrative,departement,identifiant_museofile,commune,nom_officiel_du_musee,adresse,lieu,code_postal,telephone,url,latitude,longitude,ref_deps,geolocalisation,date_arrete_attribution_appellation
Île-de-France,Essonne,M0405,Etampes,musée municipal,Hôtel de ville,Hôtel de ville,91150,169926912,www.mairie-etampes.fr/le-musee/,48.434307,2.161909,9122301,"48.434307,2.161909",2003-02-01
Île-de-France,Hauts-de-Seine,M0407,Boulogne-Billancourt,musée départemental Albert-Kahn,"14, rue du Port",,92100,155192800,albert-kahn.hauts-de-seine.fr/,48.841354,2.227488,9201203,"48.841354,2.227488",2003-02-01
Île-de-France,Hauts-de-Seine,M0408,Boulogne-Billancourt,musée-jardin Paul Landowski,"14, rue Max-Blondat",,92100,01 55 1 8 46 42,www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski,48.844261,2.246847,9201202,"48.844261,2.246847",2003-02-01
Île-de-France,Hauts-de-Seine,M0412,Meudon,musée d'art et d'histoire,"11, rue des Pierres",Maison d'Armande Béjart,92190,146238713,musee.meudon.fr/,48.806412,2.234894,9204801,"48.806412,2.234894",2003-02-01
Île-de-France,Hauts-de-Seine,M1219,Saint-Cloud,musée du Grand Siècle,Caserne Sully,,92210,764331589,https://museedugrandsiecle.hauts-de-seine.fr/,48.83901,2.21992,,"48.83901,2.21992",2022-12-20
Île-de-France,Paris,M1102,Paris,maison de Balzac,47 rue Raynouard,Hôtel particulier,75016,155744180,www.maisondebalzac.paris.fr/,48.855398,2.280805,7511616,"48.855398,2.280805",2004-07-08
Île-de-France,Paris,M1109,Paris,musée de la Libération de Paris - musée du général Leclerc - musée Jean Moulin,23 allée de la 2ème Division Blindée,Jardin Atlantique,75015,140643944,www.museeliberation-leclerc-moulin.paris.fr/,48.840614,2.319773,7511503,"48.840614,2.319773",2004-07-08
Île-de-France,Paris,M5071,Paris,musée des Plans-reliefs,129 rue de Grenelle,Hôtel national des Invalides,75007,145519505,www.museedesplansreliefs.culture.fr/,48.858219,2.312885,7510702,"48.858219,2.312885",2002-01-06
Île-de-France,Paris,M5084,Paris,musée national de l'histoire et des cultures de l'immigration,,,75012,153595860,www.histoire-immigration.fr/,48.836753,2.390394,7511202,"48.836753,2.390394",2006-11-17
Île-de-France,Paris,M1115,Paris,musée Zadkine,100 bis rue d'Assas,,75006,143269190,www.zadkine.paris.fr/,48.842793,2.333457,7510608,"48.842793,2.333457",2004-07-08
Île-de-France,Paris,M5026,Paris,musée national de la marine,"17, place du Trocadéro",Palais de Chaillot,75116,153656969,www.musee-marine.fr/,48.86425,2.293754,7511618,"48.86425,2.293754",2002-01-06
Île-de-France,Paris,M5039,Paris,musée Jean-Jacques Henner,"43, avenue de Villiers",,75017,147634273,www.musee-henner.fr/,48.883045,2.307689,7511701,"48.883045,2.307689",2002-01-06
Île-de-France,Paris,M1076,Paris,musée de l'assistance publique - hôpitaux de Paris,10 rue des Fossés-Saint-Marcel,,75005,140275005,www.aphp.fr/musee,48.838805,2.356007,7510517,"48.838805,2.356007",2002-10-02
Île-de-France,Paris,M5003,Paris,musée du Moyen Âge - thermes et hôtel de Cluny,"6, place Paul Painlevé",Hôtel de Cluny,75005,153737800,www.musee-moyenage.fr/,48.850437,2.344553,7510501,"48.850437,2.344553",2002-01-06
Île-de-France,Paris,M7003,Paris,muséum national d'histoire naturelle,"2, rue Buffon",Jardin des Plantes,75005,140793890,www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee,48.842168,2.359933,7510508,"48.842168,2.359933",2002-01-06
